source,length,speaker,index,utt
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042026_DT.wav,172472,M042,12,026
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042025_DT.wav,127150,M042,12,025
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042047_DT.wav,188594,M042,12,047
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042032_DT.wav,201672,M042,12,032
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042094_DT.wav,152700,M042,12,094
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042018_DT.wav,121368,M042,12,018
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042089_DT.wav,263422,M042,12,089
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042022_DT.wav,87604,M042,12,022
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042009_DT.wav,69352,M042,12,009
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042081_DT.wav,136578,M042,12,081
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042099_DT.wav,146312,M042,12,099
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042061_DT.wav,177340,M042,12,061
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042013_DT.wav,170648,M042,12,013
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042062_DT.wav,197414,M042,12,062
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042079_DT.wav,233002,M042,12,079
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042059_DT.wav,307834,M042,12,059
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042045_DT.wav,68136,M042,12,045
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042083_DT.wav,95514,M042,12,083
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042070_DT.wav,150572,M042,12,070
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042086_DT.wav,235740,M042,12,086
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042011_DT.wav,132016,M042,12,011
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042084_DT.wav,207244,M042,12,084
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042069_DT.wav,71178,M042,12,069
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042049_DT.wav,136882,M042,12,049
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042033_DT.wav,63270,M042,12,033
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042072_DT.wav,182206,M042,12,072
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042008_DT.wav,57490,M042,12,008
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042020_DT.wav,59924,M042,12,020
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042042_DT.wav,122890,M042,12,042
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042066_DT.wav,131712,M042,12,066
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042031_DT.wav,164258,M042,12,031
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042004_DT.wav,106160,M042,12,004
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042090_DT.wav,345552,M042,12,090
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042017_DT.wav,105552,M042,12,017
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042001_DT.wav,61142,M042,12,001
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042021_DT.wav,103422,M042,12,021
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042028_DT.wav,175512,M042,12,028
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042050_DT.wav,94906,M042,12,050
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042041_DT.wav,157262,M042,12,041
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042043_DT.wav,192548,M042,12,043
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042015_DT.wav,207756,M042,12,015
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042102_DT.wav,173080,M042,12,102
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042048_DT.wav,126540,M042,12,048
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042065_DT.wav,120152,M042,12,065
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042076_DT.wav,166692,M042,12,076
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042007_DT.wav,131104,M042,12,007
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042075_DT.wav,183118,M042,12,075
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042067_DT.wav,197718,M042,12,067
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042077_DT.wav,162130,M042,12,077
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042030_DT.wav,167908,M042,12,030
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042034_DT.wav,82434,M042,12,034
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042091_DT.wav,166692,M042,12,091
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042027_DT.wav,166084,M042,12,027
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042044_DT.wav,102206,M042,12,044
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042029_DT.wav,232700,M042,12,029
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042093_DT.wav,156350,M042,12,093
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042078_DT.wav,159696,M042,12,078
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042098_DT.wav,183422,M042,12,098
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042055_DT.wav,189506,M042,12,055
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042088_DT.wav,263422,M042,12,088
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042016_DT.wav,103422,M042,12,016
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042006_DT.wav,135970,M042,12,006
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042040_DT.wav,163650,M042,12,040
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042103_DT.wav,100684,M042,12,103
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042012_DT.wav,146616,M042,12,012
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042036_DT.wav,202282,M042,12,036
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042053_DT.wav,253690,M042,12,053
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042096_DT.wav,80304,M042,12,096
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042097_DT.wav,97340,M042,12,097
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042063_DT.wav,210190,M042,12,063
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042057_DT.wav,301142,M042,12,057
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042024_DT.wav,131712,M042,12,024
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042074_DT.wav,228138,M042,12,074
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042037_DT.wav,117110,M042,12,037
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042035_DT.wav,148442,M042,12,035
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042014_DT.wav,167908,M042,12,014
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042101_DT.wav,281066,M042,12,101
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042002_DT.wav,129278,M042,12,002
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042060_DT.wav,176122,M042,12,060
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042073_DT.wav,294450,M042,12,073
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042054_DT.wav,265550,M042,12,054
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042095_DT.wav,102814,M042,12,095
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042058_DT.wav,229050,M042,12,058
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042056_DT.wav,237262,M042,12,056
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042038_DT.wav,221748,M042,12,038
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042051_DT.wav,272548,M042,12,051
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042052_DT.wav,233916,M042,12,052
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042092_DT.wav,164260,M042,12,092
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042003_DT.wav,90646,M042,12,003
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042023_DT.wav,75134,M042,12,023
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042087_DT.wav,215968,M042,12,087
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042010_DT.wav,133842,M042,12,010
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042085_DT.wav,225400,M042,12,085
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042071_DT.wav,236958,M042,12,071
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042005_DT.wav,91558,M042,12,005
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042100_DT.wav,76350,M042,12,100
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042039_DT.wav,71180,M042,12,039
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042080_DT.wav,140532,M042,12,080
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042046_DT.wav,83954,M042,12,046
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042064_DT.wav,133842,M042,12,064
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042068_DT.wav,75132,M042,12,068
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042082_DT.wav,229658,M042,12,082
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/NP/NM042019_DT.wav,120152,M042,12,019
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B16_DT.wav,112548,M042,12,B16
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B50_DT.wav,156958,M042,12,B50
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B05_DT.wav,171254,M042,12,B05
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B02_DT.wav,119240,M042,12,B02
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B44_DT.wav,135970,M042,12,B44
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B10_DT.wav,147832,M042,12,B10
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B04_DT.wav,126236,M042,12,B04
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B40_DT.wav,173384,M042,12,B40
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B31_DT.wav,132014,M042,12,B31
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B30_DT.wav,205020,M042,12,B30
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B01_DT.wav,169734,M042,12,B01
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B48_DT.wav,93688,M042,12,B48
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B29_DT.wav,54448,M042,12,B29
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B20_DT.wav,124716,M042,12,B20
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B37_DT.wav,250342,M042,12,B37
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B24_DT.wav,119848,M042,12,B24
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B32_DT.wav,111940,M042,12,B32
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B26_DT.wav,98860,M042,12,B26
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B27_DT.wav,193460,M042,12,B27
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B38_DT.wav,88518,M042,12,B38
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B34_DT.wav,152090,M042,12,B34
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B25_DT.wav,114676,M042,12,B25
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B07_DT.wav,113460,M042,12,B07
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B43_DT.wav,156046,M042,12,B43
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B21_DT.wav,114678,M042,12,B21
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B46_DT.wav,68442,M042,12,B46
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B06_DT.wav,156350,M042,12,B06
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B18_DT.wav,120154,M042,12,B18
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B22_DT.wav,97644,M042,12,B22
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/M042/PB/BM042B49_DT.wav,194678,M042,12,B49
