source,length,speaker,index,utt
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024025_DT.wav,221520,F024,5,025
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024017_DT.wav,72720,F024,5,017
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024020_DT.wav,209280,F024,5,020
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024070_DT.wav,318240,F024,5,070
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024011_DT.wav,150960,F024,5,011
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024104_DT.wav,245520,F024,5,104
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024099_DT.wav,404400,F024,5,099
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024029_DT.wav,290400,F024,5,029
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024082_DT.wav,105840,F024,5,082
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024040_DT.wav,245280,F024,5,040
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024062_DT.wav,141360,F024,5,062
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024002_DT.wav,64080,F024,5,002
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024096_DT.wav,63120,F024,5,096
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024035_DT.wav,186960,F024,5,035
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024037_DT.wav,189120,F024,5,037
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024055_DT.wav,414720,F024,5,055
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024086_DT.wav,627120,F024,5,086
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024034_DT.wav,136560,F024,5,034
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024067_DT.wav,220080,F024,5,067
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024038_DT.wav,219360,F024,5,038
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024078_DT.wav,121680,F024,5,078
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024089_DT.wav,593520,F024,5,089
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024080_DT.wav,334560,F024,5,080
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024060_DT.wav,342720,F024,5,060
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024007_DT.wav,100800,F024,5,007
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024033_DT.wav,248880,F024,5,033
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024093_DT.wav,151440,F024,5,093
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024006_DT.wav,192720,F024,5,006
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024030_DT.wav,299280,F024,5,030
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024026_DT.wav,194640,F024,5,026
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024072_DT.wav,399360,F024,5,072
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024039_DT.wav,186480,F024,5,039
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024027_DT.wav,244800,F024,5,027
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024094_DT.wav,77280,F024,5,094
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024103_DT.wav,132000,F024,5,103
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F024/NP/NF024021_DT.wav,129120,F024,5,021
